position	mod	avg_n_valid_cov	gene_id	region	half_life	mean_CPM	mean_stoich	tail_group	tail_length
1_27393047_27393048	m6A	48	AT1G72770	3'UTR	80.04589758	39.3873200522209	0.0453777189888301	short	47
3_20480421_20480422	m6A	33.5	AT3G55250	3'UTR	135.1451102	63.1643737516094	0.0819481538951179	medium	78
1_11602102_11602103	m6A	93.5	AT1G32200	3'UTR	163.174097	47.6106752677931	0.128116430534996	short	12
1_2463275_2463276	m6A	561.5	AT1G07940	3'UTR	3834.575893	438.573951200136	0.0160510727398307	medium	60
5_799050_799051	m6A	121.5	AT5G03300	3'UTR	230.0933463	90.7621607249147	0.00831617923189368	short	21
3_21076718_21076719	m6A	1469	AT3G56940	CDS	129.529392	1350.88323489252	0.00639864880676496	short	7
1_17647257_17647258	m6A	11.5	AT1G47900	3'UTR	130.2438165	12.2865699431296	0.44363292957043	short	34
3_5430944_5430945	m6A	117	AT3G16000	3'UTR	108.9752595	64.6837682787594	0.0977125619226624	short	34
3_21995842_21995843	m6A	646	AT3G59540	3'UTR	257.803111	508.224433351567	0.0459187678950603	short	40
3_5802831_5802832	m6A	170	AT3G17020	CDS	5476.984242	139.465903491914	0.113774729038351	short	19
1_28417143_28417144	m6A	66.5	AT1G75680	3'UTR	1167.734112	90.4065435332415	0.0456318939138366	medium	75
5_23435400_23435401	m6A	36.5	AT5G57850	3'UTR	260.002281	24.2316646618401	0.263264118362512	long	139
5_7682782_7682783	m6A	40.5	AT5G22950	3'UTR	271.047696	25.1974544557599	0.169601583981011	medium	64
3_20453026_20453027	m6A	43	AT3G55170	3'UTR	245.7133579	61.9985284058112	0.152526938835803	short	16
3_2202037_2202038	m6A	14.5	AT3G06980	CDS	103.5350669	31.2912425419355	0.150796180648748	short	44
4_5777334_5777335	m6A	527	AT4G09000	3'UTR	165.5284351	336.711190707796	0.00509519655756761	medium	90
4_8242732_8242733	m6A	562	AT4G14320	CDS	683.2563446	452.861223808229	0.0160936228093785	medium	92
1_20668632_20668633	m6A	29.5	AT1G55360	5'UTR	125.7543702	57.9090977540669	0.0488295046396241	short	14
3_10987919_10987920	m6A	23	AT3G28970	3'UTR	78.14308587	10.9368790230285	0.321626086331969	short	12
4_8242732_8242733	m6A	562	AT4G14320	CDS	683.2563446	452.861223808229	0.0160936228093785	long	108
5_15845960_15845961	m6A	345	AT5G39570	CDS	737.8512356	271.631815660414	0.0190890233919629	long	118
5_19406183_19406184	m6A	15	AT5G47930	3'UTR	282.9543214	416.171217585889	0.0470373839621195	medium	90
4_10943120_10943121	m6A	529	AT4G20260	CDS	108.1025453	146.438561558164	0.0164788586875326	medium	90
3_3645783_3645784	m6A	32	AT3G11560	CDS	146.2796466	33.6275376786009	0.2423207860653	long	211
4_2126658_2126659	m6A	58	AT4G04340	3'UTR	147.902881	66.118311002385	0.173941447863196	medium	83
3_20480421_20480422	m6A	33.5	AT3G55250	3'UTR	135.1451102	63.1643737516094	0.0819481538951179	long	126
4_8243149_8243150	m6A	552.5	AT4G14320	CDS	683.2563446	452.861223808229	0.0160936228093785	long	118
5_2820934_2820935	m6A	202	AT5G08670	CDS	13208.10318	266.790792733882	0.0449199657825447	short	44
2_1823782_1823783	m6A	6814.5	AT2G05100	CDS	126.7452105	3099.94157307662	0.000740499311964253	medium	61
2_15368905_15368906	m6A	28	AT2G36680	3'UTR	192.8694229	14.2747173999855	0.295125468624767	long	213
4_1416340_1416341	m6A	140	AT4G03210	CDS	80.38701652	117.921546713344	0.0118380567569483	long	161
2_19626444_19626445	m6A	30.5	AT2G47960	CDS	138.7060411	13.7352546340093	0.377004083771348	short	25
3_5802713_5802714	m6A	222	AT3G17020	3'UTR	5476.984242	139.465903491914	0.113774729038351	short	17
1_12012364_12012365	m6A	220.5	AT1G33120	3'UTR	263.038913	337.274091519468	0.0752810503867566	medium	72
3_19627793_19627794	m6A	710	AT3G52930	CDS	752.2721003	453.055075329143	0.0123503590940364	medium	51
5_6956781_6956782	m6A	95	AT5G20570	3'UTR	211.698709	90.1944140244303	0.167441024191234	medium	84
2_10862322_10862323	m6A	19	AT2G25520	3'UTR	334.0605381	95.2354925028404	0.0827601954092698	short	37
5_22605102_22605103	m6A	242.5	AT5G55850	3'UTR	1840.78849	104.695402900481	0.0410242920144685	short	39
3_8475841_8475842	m6A	44	AT3G23600	3'UTR	3094.049588	140.615538860137	0.0310700969876962	long	134
1_18504246_18504247	m6A	199.5	AT1G49970	CDS	562.4145598	120.212281710059	0.108507602471258	long	111
1_25045885_25045886	m6A	53.5	AT1G67080	CDS	92.78528828	27.0866081418372	0.146904430939127	medium	94
2_10829980_10829981	m6A	88.5	AT2G25450	3'UTR	290.703745	401.678166646128	0.00364949713872246	long	113
4_458177_458178	m6A	523	AT4G01050	3'UTR	280.0830255	243.920892949077	0.0196030155871248	long	116
2_18226142_18226143	m6A	54	AT2G44050	3'UTR	459.2983015	77.4249491843408	0.0406804201819732	medium	53
3_7908490_7908491	m6A	102	AT3G22370	3'UTR	NA	91.329907425399	0.100631876326276	short	30
1_19884056_19884057	m6A	66.5	AT1G53310	3'UTR	1826.728863	78.0209798193333	0.0300562132995375	long	119
5_15845960_15845961	m6A	345	AT5G39570	CDS	737.8512356	271.631815660414	0.0190890233919629	long	120
5_19678086_19678087	m6A	31	AT5G48545	3'UTR	43.30007215	15.2687911284134	0.205039691258876	short	40
2_9830213_9830214	m6A	1096	AT2G23090	CDS	6.40289e+19	564.369088032294	0.0040895879164915	short	44
1_1293151_1293152	m6A	63.5	AT1G04640	CDS	66.1246298	36.5465185394779	0.175122550579496	medium	68
5_2207008_2207009	m6A	23	AT5G07120	3'UTR	71.26720405	11.9168107842024	0.210801698301698	medium	60
3_20878612_20878613	m6A	188.5	AT3G56290	3'UTR	77.74640809	223.936288589096	0.0491163069884039	long	121
2_9451740_9451741	m6A	89	AT2G22240	3'UTR	485.6702077	59.0587331222897	0.113771601391667	short	29
4_8337025_8337026	m6A	58.5	AT4G14500	3'UTR	42.29748187	33.7470219302728	0.261044177281484	short	47
4_17776790_17776791	m6A	726.5	AT4G37800	CDS	265.6661522	284.556842140298	0.00348263805281881	long	115
5_26411152_26411153	m6A	578.5	AT5G66040	3'UTR	7045.655675	369.366634451578	0.0046161016752199	medium	53
2_1823408_1823409	m6A	7795.5	AT2G05100	3'UTR	126.7452105	3099.94157307662	0.000740499311964253	short	42
2_7566398_7566399	m6A	142	AT2G17420	3'UTR	457.243995	95.1930666010781	0.00668711536663047	long	121
2_9830213_9830214	m6A	1096	AT2G23090	CDS	6.40289e+19	564.369088032294	0.0040895879164915	long	138
2_15168757_15168758	m6A	226	AT2G36145	CDS	185.0464089	93.516042423812	0.0907461865505856	medium	88
1_17331883_17331884	m6A	30	AT1G47278	3'UTR	150.1551395	41.3613255418227	0.389189395030585	short	32
3_9524943_9524944	m6A	534.5	AT3G26060	CDS	107.5377752	315.282405992071	0.0221931857196679	medium	60
2_11764016_11764017	m6A	561	AT2G27530	CDS	208.2161854	390.064541205225	0.00268472581834737	medium	77
3_18504778_18504779	m6A	1045.5	AT3G49910	3'UTR	204.5225086	794.775626979685	0.00651323098862025	medium	95
5_4945464_4945465	m6A	293	AT5G15230	CDS	66.44087369	219.743728145931	0.00562876441486146	medium	92
2_11763272_11763273	m6A	32.5	AT2G27530	3'UTR	208.2161854	390.064541205225	0.00268472581834737	short	17
4_8047969_8047970	m6A	211.5	AT4G13930	3'UTR	585.9739954	302.040052201633	0.00798490966841809	long	124
4_17176502_17176503	m6A	51	AT4G36360	3'UTR	275.2146886	70.0663219815886	0.0997075183153209	long	155
2_9237694_9237695	m6A	79	AT2G21580	3'UTR	210.028317	384.411222114248	0.037298988055649	short	33
3_5802831_5802832	m6A	170	AT3G17020	CDS	5476.984242	139.465903491914	0.113774729038351	long	134
2_9830213_9830214	m6A	1096	AT2G23090	CDS	6.40289e+19	564.369088032294	0.0040895879164915	short	9
5_3669218_3669219	m6A	82.5	AT5G11480	3'UTR	158.2064559	65.0818113721948	0.143103762658286	medium	82
1_20401609_20401610	m6A	225	AT1G54630	3'UTR	48908.61044	136.172559027041	0.0088742689271609	medium	100
1_2706764_2706765	m6A	87.5	AT1G08540	3'UTR	75.88083345	52.2133527613268	0.114098272375692	medium	72
4_8243149_8243150	m6A	552.5	AT4G14320	CDS	683.2563446	452.861223808229	0.0160936228093785	long	141
4_8242732_8242733	m6A	562	AT4G14320	CDS	683.2563446	452.861223808229	0.0160936228093785	long	133
5_8865387_8865388	m6A	322.5	AT5G25460	CDS	228.8941521	159.777841109059	0.00650757849383159	short	23
2_1823782_1823783	m6A	6814.5	AT2G05100	CDS	126.7452105	3099.94157307662	0.000740499311964253	medium	82
4_8242663_8242664	m6A	606.5	AT4G14320	3'UTR	683.2563446	452.861223808229	0.0160936228093785	medium	60
5_22605102_22605103	m6A	242.5	AT5G55850	3'UTR	1840.78849	104.695402900481	0.0410242920144685	short	19
4_18520185_18520186	m6A	119	AT4G39940	CDS	61.20804528	177.244841192818	0.00886733672003234	medium	61
3_20453124_20453125	m6A	82.5	AT3G55170	3'UTR	245.7133579	61.9985284058112	0.152526938835803	long	161
1_20401609_20401610	m6A	225	AT1G54630	3'UTR	48908.61044	136.172559027041	0.0088742689271609	short	18
2_17651359_17651360	m6A	21.5	AT2G42390	3'UTR	122.678677	15.2405071939053	0.285328162175988	medium	92
5_19091811_19091812	m6A	430.5	AT5G47030	CDS	1.77444e+20	316.799732508899	0.0209705459970763	long	131
5_2180520_2180521	m6A	273.5	AT5G07020	3'UTR	316.2301305	210.285885758611	0.0152612627135166	short	8
1_12030514_12030515	m6A	18	AT1G33170	3'UTR	285.9207041	18.5217777018459	0.26469412641172	medium	60
2_17376248_17376249	m6A	196	AT2G41680	3'UTR	359.8625567	82.2680401211937	0.0434723864719994	short	44
5_17980266_17980267	m6A	436	AT5G44580	3'UTR	709.2873552	249.123737098245	0.00835202140171714	medium	78
1_23249287_23249288	m6A	232.5	AT1G62780	3'UTR	214.6152333	86.9979953200141	0.00874842445312494	medium	87
3_3469933_3469934	m6A	18.5	AT3G11070	3'UTR	72.6721348	19.032956533314	0.354729074865814	short	42
5_15384356_15384357	m6A	7918.5	AT5G38430	CDS	201.0879403	3287.41324519333	0.0022018105622488	medium	100
1_12012364_12012365	m6A	220.5	AT1G33120	3'UTR	263.038913	337.274091519468	0.0752810503867566	short	14
5_7167229_7167230	m6A	23.5	AT5G21090	3'UTR	5.64126e+19	259.559443236417	0.059439498101787	medium	54
1_26430730_26430731	m6A	35	AT1G70190	CDS	127.3506409	29.5010826266367	0.211571008062236	medium	77
3_368766_368767	m6A	157.5	AT3G02090	3'UTR	3349.137429	182.930580238947	0.0366273706004798	medium	57
1_17908438_17908439	m6A	184.5	AT1G48440	3'UTR	179.144885	142.634038261822	0.143908172998557	medium	99
5_360910_360911	m6A	50.5	AT5G01920	3'UTR	48.6847007	37.1284072072164	0.0182696233852039	medium	74
2_7304302_7304303	m6A	51.5	AT2G16860	CDS	217.4190808	27.9816880994866	0.154875090788129	medium	71
1_17908438_17908439	m6A	184.5	AT1G48440	3'UTR	179.144885	142.634038261822	0.143908172998557	short	24
5_8365695_8365696	m6A	170.5	AT5G24490	CDS	75.84876245	113.399889840158	0.021580448146237	medium	89
4_6719609_6719610	m6A	39.5	AT4G10970	3'UTR	88.96412012	26.9876143710587	0.325225752537517	medium	81
3_5595116_5595117	m6A	706	AT3G16460	CDS	564.909565	182.169037038953	0.00385564922875592	short	31
3_19422988_19422989	m6A	289	AT3G52380	3'UTR	244.7854137	174.632396845365	0.0152088395881564	long	123
5_360910_360911	m6A	50.5	AT5G01920	3'UTR	48.6847007	37.1284072072164	0.0182696233852039	short	15
2_10063436_10063437	m6A	458	AT2G23670	CDS	128.2763215	0	0.00508877055077688	medium	95
4_8520059_8520060	m6A	399.5	AT4G14880	5'UTR	63597432401	329.185296222808	0.00959404774664454	short	36
3_6611227_6611228	m6A	33.5	AT3G19130	3'UTR	111.5787207	41.6745168317337	0.252895067310695	short	30
4_456329_456330	m6A	443.5	AT4G01050	CDS	280.0830255	243.920892949077	0.0196030155871248	short	49
4_12566467_12566468	m6A	210	AT4G24220	CDS	479.9221042	152.552050001814	0.0166819523344134	long	103
4_18520185_18520186	m6A	119	AT4G39940	CDS	61.20804528	177.244841192818	0.00886733672003234	medium	87
4_12786156_12786157	m6A	33	AT4G24805	3'UTR	187.1398527	11.860242915186	0.0336535315760599	medium	52
5_6973139_6973140	m6A	64.5	AT5G20620	3'UTR	3071.974067	45.6932376472077	0.198638367997514	short	35
3_2049021_2049022	m6A	25	AT3G06580	3'UTR	694.2470801	19.0753824350762	0.0845627691022428	short	9
1_21713982_21713983	m6A	28	AT1G58440	3'UTR	215.030737	39.5004557902536	0.183745999367268	medium	66
1_22812595_22812596	m6A	13	AT1G61770	3'UTR	134.2665688	31.390236312714	0.274113647739468	medium	59
5_18663002_18663003	m6A	227	AT5G46020	3'UTR	30906.15847	143.712963793775	0.093408377329936	long	156
5_21792415_21792416	m6A	25.5	AT5G53650	3'UTR	127.1515028	62.4389974010089	0.179675976611836	long	124
5_4617702_4617703	m6A	426.5	AT5G14320	3'UTR	492.8049392	447.21490208676	0.0120216034780013	medium	94
3_23242750_23242751	m6A	463	AT3G62870	3'UTR	374.5013288	503.32891056634	0.00446888489499219	medium	92
3_3605282_3605283	m6A	37.5	AT3G11450	3'UTR	56.20350379	33.7340009612431	0.182451705503586	medium	61
2_17470986_17470987	m6A	31	AT2G41870	3'UTR	50.78573467	31.062903055549	0.0409148259148259	short	48
2_10327249_10327250	m6A	10	AT2G24270	3'UTR	189.3276965	288.605914900601	0.0204190265966259	medium	91
2_18755085_18755086	m6A	46.5	AT2G45520	3'UTR	233.6445586	36.0613397787318	0.229020064748576	medium	54
3_9524943_9524944	m6A	534.5	AT3G26060	CDS	107.5377752	315.282405992071	0.0221931857196679	medium	59
5_17979652_17979653	m6A	387	AT5G44580	CDS	709.2873552	249.123737098245	0.00835202140171714	long	137
5_24878571_24878572	m6A	24	AT5G61960	3'UTR	117.3858696	31.7458535043872	0.225471048687196	long	106
2_11343542_11343543	m6A	134	AT2G26670	3'UTR	418.7844633	82.4377437282427	0.0980528722986354	short	26
3_16910802_16910803	m6A	65	AT3G46010	5'UTR	1560.043861	174.408175700718	0.0347846736383407	short	33
5_22390606_22390607	m6A	47.5	AT5G55180	3'UTR	183.3330357	98.1045779500915	0.0291633909389011	medium	56
5_4388346_4388347	m6A	1237.5	AT5G13630	CDS	267.9811755	724.016014497652	0.00216570457661676	long	120
4_8243149_8243150	m6A	552.5	AT4G14320	CDS	683.2563446	452.861223808229	0.0160936228093785	long	121
5_2820934_2820935	m6A	202	AT5G08670	CDS	13208.10318	266.790792733882	0.0449199657825447	short	9
2_11764016_11764017	m6A	561	AT2G27530	CDS	208.2161854	390.064541205225	0.00268472581834737	long	126
4_8243149_8243150	m6A	552.5	AT4G14320	CDS	683.2563446	452.861223808229	0.0160936228093785	long	148
4_677219_677220	m6A	33	AT4G01560	3'UTR	65.35587071	37.4274565298732	0.480702559552671	long	153
5_22245578_22245579	m6A	233.5	AT5G54760	3'UTR	370.8786111	157.947323302319	0.0914672424096377	long	130
4_10775826_10775827	m6A	106	AT4G19840	3'UTR	371.902062	75.0529006013036	0.0289129674071588	medium	96
5_21286901_21286902	m6A	83.5	AT5G52440	CDS	175.2740791	79.7545718656158	0.0103125663977659	medium	60
5_4786025_4786026	m6A	92.5	AT5G14800	3'UTR	55.62000917	76.9279123201268	0.0146571021571022	long	136
4_456329_456330	m6A	443.5	AT4G01050	CDS	280.0830255	243.920892949077	0.0196030155871248	short	23
1_11601821_11601822	m6A	62.5	AT1G32200	3'UTR	163.174097	47.6106752677931	0.128116430534996	long	157
1_7297429_7297430	m6A	47.5	AT1G20950	3'UTR	313.4299271	49.9544399163222	0.147887055135111	medium	73
1_19991393_19991394	m6A	72	AT1G53580	3'UTR	353.7744758	59.6547637572822	0.0104437229437229	long	133
5_627090_627091	m6A	16.5	AT5G02770	3'UTR	119.6589931	54.08836448015	0.221454065716701	long	136
5_23506190_23506191	m6A	15	AT5G58090	CDS	293.9487284	26.533003408607	0.215807072204531	short	50
3_8474530_8474531	m6A	268	AT3G23600	CDS	3094.049588	140.615538860137	0.0310700969876962	short	20
5_291212_291213	m6A	284	AT5G01750	3'UTR	531.2007206	260.836356309926	0.0198036261312147	medium	87
4_13286022_13286023	m6A	302	AT4G26230	5'UTR	108.6738445	268.001605214523	0.00410172348936684	long	116
3_2079871_2079872	m6A	132.5	AT3G06650	CDS	385.0030607	70.2663775334669	0.0629791205422435	long	144
3_2049021_2049022	m6A	25	AT3G06580	3'UTR	694.2470801	19.0753824350762	0.0845627691022428	medium	61
4_16476927_16476928	m6A	56.5	AT4G34450	3'UTR	2596.246925	106.855321974707	0.0700160115966559	short	9
2_10183072_10183073	m6A	159	AT2G23930	3'UTR	462.2942103	161.709420696899	0.00745598844742099	long	158
2_18074279_18074280	m6A	214.5	AT2G43560	CDS	65.59366143	95.2779184046026	0.00433054814504646	medium	81
5_24121647_24121648	m6A	747	AT5G59880	3'UTR	1418.973769	357.437749710443	0.00360959636718216	medium	58
5_17980266_17980267	m6A	436	AT5G44580	3'UTR	709.2873552	249.123737098245	0.00835202140171714	short	31
3_10672205_10672206	m6A	16	AT3G28460	3'UTR	138.1090301	18.9622466970436	0.218584014383866	long	104
5_4388346_4388347	m6A	1237.5	AT5G13630	CDS	267.9811755	724.016014497652	0.00216570457661676	long	102
5_650244_650245	m6A	90	AT5G02840	CDS	60.13733105	35.6090126800663	0.0677737651147216	long	131
5_19406183_19406184	m6A	15	AT5G47930	3'UTR	282.9543214	416.171217585889	0.0470373839621195	short	48
1_6773459_6773460	m6A	477.5	AT1G19570	3'UTR	641.3312466	641.119523786315	0.0117113376667393	medium	90
2_10327249_10327250	m6A	10	AT2G24270	3'UTR	189.3276965	288.605914900601	0.0204190265966259	short	41
5_10797219_10797220	m6A	73	AT5G28770	CDS	40.90233113	3.32369640970291	0.015707073968828	medium	86
5_4388466_4388467	m6A	1195	AT5G13630	CDS	267.9811755	724.016014497652	0.00216570457661676	short	46
1_28717302_28717303	m6A	112.5	AT1G76520	3'UTR	91.09126479	35.1685436848687	0.106001263048812	short	43
3_22491581_22491582	m6A	29.5	AT3G60860	3'UTR	352.3999183	19.0470985005681	0.264748412195145	short	31
5_5363947_5363948	m6A	174	AT5G16400	CDS	183.5112012	106.101661689598	0.118453202649113	long	102
1_6211890_6211891	m6A	194.5	AT1G18060	3'UTR	326.189176	121.384594785266	0.056577339516389	medium	53
5_23356828_23356829	m6A	253.5	AT5G57660	3'UTR	37.60017162	87.6223098895148	0.0160981665030126	short	29
5_24121647_24121648	m6A	747	AT5G59880	3'UTR	1418.973769	357.437749710443	0.00360959636718216	short	15
2_9451740_9451741	m6A	89	AT2G22240	3'UTR	485.6702077	59.0587331222897	0.113771601391667	long	162
1_12012364_12012365	m6A	220.5	AT1G33120	3'UTR	263.038913	337.274091519468	0.0752810503867566	long	108
1_26422147_26422148	m6A	77.5	AT1G70160	CDS	201.0077879	43.2080533261378	0.122491628954833	short	14
5_2808845_2808846	m6A	94.5	AT5G08650	CDS	215.7612932	58.4061346182809	0.114724989418484	short	43
5_26547236_26547237	m6A	51.5	AT5G66490	3'UTR	37.48822273	18.1237346084105	0.04	short	37
2_1823408_1823409	m6A	7795.5	AT2G05100	3'UTR	126.7452105	3099.94157307662	0.000740499311964253	long	133
5_23080027_23080028	m6A	41.5	AT5G57030	3'UTR	77.80634541	44.6850219515256	0.124055030716417	medium	98
4_8022210_8022211	m6A	141.5	AT4G13850	3'UTR	246.8947318	164.323950733576	0.00585175948594653	long	132
5_5379921_5379922	m6A	393.5	AT5G16470	3'UTR	208.1453349	179.918007108834	0.015027791432286	short	25
